Kennewick.O3,Kennewick.OZONE_AIRPACT4,WRF_4km_BCAA.Surface_pres_Pa,WRF_4km_BCAA.PBL_m,WRF_4km_BCAA.T_K,WRF_4km_BCAA.windspeed_m_per_s,WRF_4km_BCAA.WindDir_deg,WRF_4km_BCAA.RH_pct,Wildfire_smoke_caused_excess_ozone_YN,date
40.0,33.3,98874.07,559.72565,285.683,4.2098374000000005,301.83975,49.9,N,2017-05-05 22:00:00
37.0,34.7,98937.05,210.82135,286.14853,4.324491,309.34857,46.7,N,2017-05-05 23:00:00
34.0,36.0,98995.336,102.3789,284.7641,3.2508821,265.77832,51.3,N,2017-05-06 00:00:00
35.0,36.0,99032.51,60.642265,284.19714,2.9079537,249.41776000000002,53.1,N,2017-05-06 01:00:00
34.0,34.8,99088.23,246.30435,282.15765,2.7780892999999995,244.67944,58.6,N,2017-05-06 02:00:00
34.0,33.4,99123.58,45.82376,282.9948,3.013318,235.1581,53.2,N,2017-05-06 03:00:00
33.0,30.2,99143.37,38.698036,282.55902000000003,2.978226,238.4244,59.9,N,2017-05-06 04:00:00
,32.5,99186.72,226.45755,280.06036,2.561191,243.83787999999998,73.2,N,2017-05-06 05:00:00
36.0,37.9,99191.83,232.14064,282.13552999999996,3.0337099999999997,286.35263,48.1,N,2017-05-06 06:00:00
42.0,38.4,99222.125,913.0792,283.46054,3.1819662999999996,297.8377,41.2,N,2017-05-06 07:00:00
43.0,37.9,99245.35,970.5309,284.2453,3.2024713,287.8378,40.5,N,2017-05-06 08:00:00
45.0,38.9,99242.305,1244.8091,285.21082,2.5643057999999996,273.28094,38.2,N,2017-05-06 09:00:00
46.0,39.8,99230.516,1592.9612,286.76257000000004,2.4400150000000003,302.9752,34.2,N,2017-05-06 10:00:00
48.0,41.1,99209.95,1923.8986,287.8917,2.2848287,306.90845,31.2,N,2017-05-06 11:00:00
50.0,42.0,99175.52,2044.5741,288.88583,1.9687628000000001,333.04684,29.0,N,2017-05-06 12:00:00
50.0,43.6,99107.44,2294.2463,289.65186,2.38881,358.55005,27.3,N,2017-05-06 13:00:00
50.0,45.0,99062.05,2337.9866,290.33624,2.8893904999999998,352.92267000000004,23.3,N,2017-05-06 14:00:00
52.0,45.8,99022.875,2376.281,290.7191,3.6748589999999997,338.81345,20.3,N,2017-05-06 15:00:00
51.0,45.5,98996.13,2330.572,290.62642999999997,3.3760517,339.8419,20.2,N,2017-05-06 16:00:00
48.0,45.4,99006.91,2329.0112,290.37102999999996,3.228285,331.56665,21.5,N,2017-05-06 17:00:00
45.0,45.6,98976.85,2312.199,289.732,1.422029,318.39532,23.3,N,2017-05-06 18:00:00
47.0,44.9,99009.21,913.404,288.3948,4.636543799999999,311.7156,25.0,N,2017-05-06 19:00:00
45.0,42.9,99086.98,634.7756,287.21783,6.3280807,319.5663,30.0,N,2017-05-06 20:00:00
40.0,40.2,99132.55,787.2832,285.8916,5.607096,309.7566,31.5,N,2017-05-06 21:00:00
36.0,38.2,99209.195,792.4465299999999,284.34665,4.189302,298.29623,32.5,N,2017-05-06 22:00:00
38.0,37.0,99307.875,777.56915,282.69284,3.5401363,276.89426000000003,36.7,N,2017-05-06 23:00:00
40.0,37.2,99335.74,715.7699,281.42532,3.3043966,270.22662,48.6,N,2017-05-07 00:00:00
37.0,36.6,99348.36,657.13715,281.09604,3.910651,266.447,48.2,N,2017-05-07 01:00:00
,35.9,99398.375,536.88104,280.63364,4.160539,254.4245,49.4,N,2017-05-07 02:00:00
32.0,35.6,99410.516,461.05405,280.05400000000003,4.1327004,259.46286000000003,51.1,N,2017-05-07 03:00:00
31.0,34.9,99474.016,429.57535,279.7513,4.384988,251.25277999999997,51.2,N,2017-05-07 04:00:00
,35.0,99525.016,359.8848,279.37637,4.356243,249.38038999999998,51.2,N,2017-05-07 05:00:00
34.0,36.6,99535.65,175.8828,282.27603,3.9266753,279.38925,41.2,N,2017-05-07 06:00:00
40.0,37.8,99569.64,603.5871,283.9353,3.9480915000000003,310.74222000000003,36.2,N,2017-05-07 07:00:00
44.0,39.2,99568.64,854.5929,285.6017,3.9910525999999997,322.25922,31.9,N,2017-05-07 08:00:00
46.0,40.9,99563.805,1156.6619,287.1253,3.4359393,328.1349,28.7,N,2017-05-07 09:00:00
47.0,43.8,99545.35,1658.4924,288.72366,2.8222117,323.80832000000004,25.6,N,2017-05-07 10:00:00
48.0,45.9,99504.94,1973.8966,290.12585,3.0103264,325.87686,22.2,N,2017-05-07 11:00:00
50.0,46.8,99460.64,2023.057,291.18265,3.0347583,329.06635,19.4,N,2017-05-07 12:00:00
51.0,46.5,99409.086,2071.6863,292.04672,2.8340054,327.7347,17.4,N,2017-05-07 13:00:00
53.0,46.6,99364.29,2179.61,292.79416000000003,3.0677836,326.154,15.6,N,2017-05-07 14:00:00
55.0,47.0,99321.336,2290.0327,293.17172,2.8800302,322.4045,15.5,N,2017-05-07 15:00:00
55.0,47.7,99295.59,2261.2585,293.34653,3.0178637999999998,321.10956,14.9,N,2017-05-07 16:00:00
55.0,48.0,99292.33,2117.9143,293.1418,2.6622505000000003,318.8279,14.9,N,2017-05-07 17:00:00
52.0,43.5,99269.11,2018.6865,292.50967,2.541318,318.5347,15.8,N,2017-05-07 18:00:00
35.0,42.1,99307.75,174.31177,289.88596,1.9321706000000003,287.4769,22.6,N,2017-05-07 19:00:00
38.0,44.0,99331.65,20.366104,289.9489,1.5798801000000002,253.9392,19.7,N,2017-05-07 20:00:00
36.0,43.6,99346.016,77.92591999999999,287.31732,3.5338042,230.58049,25.1,N,2017-05-07 21:00:00
40.0,41.3,99373.38,77.18372,287.0164,3.5662284,230.5577,26.8,N,2017-05-07 22:00:00
36.0,37.9,99446.91,220.45237999999998,285.4274,2.910653,275.5729,33.3,N,2017-05-07 23:00:00
34.0,36.1,99585.76,375.9908,284.67694,3.9607879999999995,272.1995,50.5,N,2017-05-08 00:00:00
32.0,36.4,99594.27,282.4026,283.6637,3.68066,265.52299999999997,55.5,N,2017-05-08 01:00:00
29.0,36.9,99654.85,178.00092,282.82828,3.3039668,256.1142,59.0,N,2017-05-08 02:00:00
29.0,37.5,99662.56,138.23645,282.36496,3.0993302000000003,253.546,60.0,N,2017-05-08 03:00:00
29.0,36.7,99683.01,124.799446,281.83054,3.1331568,258.09542999999996,61.0,N,2017-05-08 04:00:00
19.0,33.7,99718.01,101.48974,281.41953,2.7886405,258.8958,61.7,N,2017-05-08 05:00:00
11.0,33.1,99720.79,137.23167,284.13452,1.5807176,282.91547,53.9,N,2017-05-08 06:00:00
12.0,35.6,99753.22,365.17126,285.45617999999996,1.1348023,345.3312,47.1,N,2017-05-08 07:00:00
18.0,37.9,99734.35,436.34058,287.02176000000003,1.347674,342.06167999999997,41.5,N,2017-05-08 08:00:00
32.0,39.6,99703.22,613.89594,288.83533,1.6838453999999998,353.59747000000004,36.7,N,2017-05-08 09:00:00
41.0,41.3,99660.04,770.75464,290.71826,2.0422754000000003,7.048400999999999,32.7,N,2017-05-08 10:00:00
47.0,44.0,99576.945,1161.3011,292.39133,2.1107137000000002,16.698180999999998,28.9,N,2017-05-08 11:00:00
51.0,45.7,99511.734,1654.5809,293.7226,1.9506791,14.480498999999998,25.3,N,2017-05-08 12:00:00
55.0,46.5,99423.44,1667.5985,294.6773,1.9970818,3.4964904999999997,24.2,N,2017-05-08 13:00:00
57.0,46.6,99335.78,1737.4619,295.38324,1.8974591,359.70447,23.5,N,2017-05-08 14:00:00
60.0,46.2,99253.13,1837.92,295.84344,1.5581169,4.248596,22.2,N,2017-05-08 15:00:00
61.0,45.6,99187.38,1942.9086,296.0534,1.6846893,9.005554,20.6,N,2017-05-08 16:00:00
61.0,44.7,99161.08,1790.5869,295.90117999999995,1.6042035,21.043793,20.1,N,2017-05-08 17:00:00
59.0,37.4,99126.0,1051.2341,295.28485,1.7154523999999998,48.00235,21.3,N,2017-05-08 18:00:00
42.0,32.9,99117.67,191.08902,292.73532,1.9077598000000002,93.35616999999999,28.4,N,2017-05-08 19:00:00
36.0,41.3,99147.78,91.15836999999999,291.15417,3.273388,172.88924,30.1,N,2017-05-08 20:00:00
37.0,43.4,99148.586,64.59638000000001,290.44318,2.9728277000000003,182.12673999999998,28.8,N,2017-05-08 21:00:00
36.0,43.3,99158.2,36.373486,289.9134,2.8402371,189.10054,28.1,N,2017-05-08 22:00:00
30.0,35.7,99218.68,288.59512,288.02005,3.1498467999999997,261.39697,39.7,N,2017-05-08 23:00:00
26.0,35.4,99166.24,257.0983,286.27274,3.3912814,262.53824,52.5,N,2017-05-09 00:00:00
26.0,36.1,99165.92,296.6539,285.57193,3.2359133,258.69144,57.3,N,2017-05-09 01:00:00
,36.1,99219.5,277.39194,285.07507000000004,3.2773037000000005,262.25012000000004,58.1,N,2017-05-09 02:00:00
23.0,36.7,99226.16,227.74675,284.575,3.068849,257.61166000000003,59.9,N,2017-05-09 03:00:00
20.0,36.9,99251.8,181.2079,284.17935,2.7951124,257.83072000000004,61.4,N,2017-05-09 04:00:00
17.0,32.5,99286.53,114.97046999999999,283.96625,2.4276240000000002,258.50095,61.5,N,2017-05-09 05:00:00
18.0,33.4,99291.31,183.6466,286.6369,1.830512,271.12692000000004,53.8,N,2017-05-09 06:00:00
23.0,35.5,99317.305,417.07455,288.1235,1.5444993999999999,321.5297,46.4,N,2017-05-09 07:00:00
37.0,36.5,99310.664,558.9855299999999,289.49323,1.5535555,342.71047999999996,43.0,N,2017-05-09 08:00:00
44.0,38.2,99272.36,689.1913,291.06567,1.3552395000000002,359.92602999999997,40.1,N,2017-05-09 09:00:00
48.0,41.0,99228.586,830.3774,292.76788,1.7087291,11.850708000000001,36.9,N,2017-05-09 10:00:00
53.0,44.6,99153.65,1102.0212,294.38925,1.8054868999999998,19.933563,33.8,N,2017-05-09 11:00:00
56.0,47.9,99078.55,1647.6027,295.78137000000004,2.0541549999999997,29.521393,31.0,N,2017-05-09 12:00:00
,50.2,98982.234,2005.5107,296.82742,2.1366014,32.863647,28.8,N,2017-05-09 13:00:00
,51.5,98896.54,2100.8320000000003,297.62973,2.1996136,38.02231,26.7,N,2017-05-09 14:00:00
,52.1,98816.305,2152.8264,298.11602999999997,1.7643400000000002,56.54135,24.5,N,2017-05-09 15:00:00
60.0,52.2,98737.08,2191.2603,298.26083,1.3473218999999999,72.31067,22.9,N,2017-05-09 16:00:00
57.0,51.6,98684.95,2171.4453,297.96002000000004,1.0537288999999999,82.78005999999999,22.4,N,2017-05-09 17:00:00
51.0,43.6,98648.04,1751.406,296.44415,1.3401459999999998,95.589874,33.4,N,2017-05-09 18:00:00
36.0,43.4,98634.84,100.62045,294.5088,1.7925526000000003,128.26003,32.1,N,2017-05-09 19:00:00
34.0,47.3,98633.78,88.22043000000001,292.84058,3.2270088,201.9724,31.1,N,2017-05-09 20:00:00
